#TYPE System.Management.Automation.PSCustomObject
"ID","ZName","MName","MCount","NZoneG","NZoneE"
"1","CrushboneTR","orc","1","1","5"
"2","CrushboneTrainer","none","0","1","5"
"3","CrushboneENT","none","0","1","5"
"4","CrushboneTunnel","none","0","1","5"
"5","OrcHill","none","0","1","7"
"6","Kelethin","KelethinGuard","1","5","9"
"7","GFay1","none","0","5","8"
"8","GFayTrail","none","0","7","10"
"9","Felwithe","FelwitheGuard","1","5","10"
"10","GFaySpires","none","0","9","11"
"11","ButcherBlock","none","0","10","12"
"12","ButcherBlockDocks","none","0","11","13"
"13","Kaladim","DwarfGuard","1","12","14"
"14","DagnorsCauldron","none","0","13","15"
"15","Unrest","none","0","14","15"
